NAME1,RA1,DEC1,Z1,NAME2,RA2,DEC2,Z2
J131305.81+012755.9,198.27420,1.4655410,0.029361000,J132409.64+051535.1,201.04016,5.2597483,0.024928600
J131305.81+012755.9,198.27420,1.4655410,0.029361000,J211718.29-061346.7,319.32621,-6.2296367,0.029566500
J083803.67+540642.2,129.51531,54.111729,0.029462000,J084707.73+045127.7,131.78219,4.8576828,0.031503300
J083803.67+540642.2,129.51531,54.111729,0.029462000,J162529.22+403821.9,246.37173,40.639412,0.037601500
J083803.67+540642.2,129.51531,54.111729,0.029462000,J001601.32+155634.8,4.0054800,15.943007,0.039182500
J083803.67+540642.2,129.51531,54.111729,0.029462000,J093821.55+063130.9,144.58980,6.5252428,0.022576500
J083803.67+540642.2,129.51531,54.111729,0.029462000,J094321.54+385457.7,145.83975,38.916023,0.025000400
J231815.67+001540.2,349.56529,0.26117900,0.029773000,J105546.79+440258.8,163.94496,44.049663,0.037110800
J231815.67+001540.2,349.56529,0.26117900,0.029773000,J102332.55+522031.4,155.88561,52.342049,0.032223800
J231815.67+001540.2,349.56529,0.26117900,0.029773000,J134527.23+475521.8,206.36345,47.922710,0.028057000
J231815.67+001540.2,349.56529,0.26117900,0.029773000,J131408.61-002628.0,198.53589,-0.44112266,0.039251000
J231815.67+001540.2,349.56529,0.26117900,0.029773000,J125821.16+045308.4,194.58816,4.8856531,0.036308300
J144331.27+492335.2,220.88029,49.393125,0.030161000,J133853.41+004519.4,204.72255,0.75538844,0.039639200
J144331.27+492335.2,220.88029,49.393125,0.030161000,J153138.87+351649.7,232.91195,35.280473,0.036927900
J144331.27+492335.2,220.88029,49.393125,0.030161000,J131704.95+014940.7,199.27064,1.8279763,0.036356900
J144331.27+492335.2,220.88029,49.393125,0.030161000,J121649.03+472619.7,184.20428,47.438799,0.024201700
J144331.27+492335.2,220.88029,49.393125,0.030161000,J105646.12+053940.0,164.19215,5.6611079,0.039651800
J153552.40+575409.5,233.96835,57.902639,0.030319000,J095914.76+125916.5,149.81151,12.987914,0.034352300
J153552.40+575409.5,233.96835,57.902639,0.030319000,J153928.56+465859.7,234.86898,46.983251,0.037889200
J153552.40+575409.5,233.96835,57.902639,0.030319000,J110621.38+502316.8,166.58910,50.387999,0.039863900
J153552.40+575409.5,233.96835,57.902639,0.030319000,J134049.96+052458.6,205.20817,5.4162913,0.038335300
J153552.40+575409.5,233.96835,57.902639,0.030319000,J083523.72+420909.6,128.84883,42.152677,0.034243000
J123651.18+453904.2,189.21325,45.651162,0.030419000,J121451.24-032922.2,183.71352,-3.4895004,0.033521400
J123651.18+453904.2,189.21325,45.651162,0.030419000,J080248.17+450204.4,120.70071,45.034554,0.038792300
J123651.18+453904.2,189.21325,45.651162,0.030419000,J110630.66+063333.9,166.62775,6.5594029,0.040186900
J123651.18+453904.2,189.21325,45.651162,0.030419000,J031100.77-082528.3,47.753226,-8.4245178,0.035314300
J123651.18+453904.2,189.21325,45.651162,0.030419000,J133817.77+481641.1,204.57404,48.278074,0.027811300
J155909.63+350147.5,239.79012,35.029857,0.031003000,J121451.24-032922.2,183.71352,-3.4895004,0.033521400
J155909.63+350147.5,239.79012,35.029857,0.031003000,J080248.17+450204.4,120.70071,45.034554,0.038792300
J155909.63+350147.5,239.79012,35.029857,0.031003000,J110630.66+063333.9,166.62775,6.5594029,0.040186900
J155909.63+350147.5,239.79012,35.029857,0.031003000,J031100.77-082528.3,47.753226,-8.4245178,0.035314300
J155909.63+350147.5,239.79012,35.029857,0.031003000,J133817.77+481641.1,204.57404,48.278074,0.027811300
J074507.25+460420.7,116.28022,46.072420,0.031301000,J130905.60+113802.9,197.27333,11.634127,0.025197300
J074507.25+460420.7,116.28022,46.072420,0.031301000,J103719.33+433515.3,159.33056,43.587589,0.024762800
J074507.25+460420.7,116.28022,46.072420,0.031301000,J085326.21+454609.8,133.35922,45.769391,0.040794700
J074507.25+460420.7,116.28022,46.072420,0.031301000,J090554.49+471045.5,136.47706,47.179305,0.027218300
J074507.25+460420.7,116.28022,46.072420,0.031301000,J220141.64+115124.4,330.42349,11.856781,0.029660100
J110016.03+461615.2,165.06680,46.270893,0.031777000,J100008.40+005905.3,150.03499,0.98479420,0.031864800
J110016.03+461615.2,165.06680,46.270893,0.031777000,J150843.24+405554.6,227.18015,40.931821,0.030237000
J110016.03+461615.2,165.06680,46.270893,0.031777000,J171725.53+291107.9,259.35639,29.185534,0.028562500
J110016.03+461615.2,165.06680,46.270893,0.031777000,J111636.49+553856.8,169.15204,55.649103,0.032415100
J110016.03+461615.2,165.06680,46.270893,0.031777000,J160151.51+024810.0,240.46461,2.8027706,0.032900400
J230920.26+004523.5,347.33443,0.75651500,0.032279000,J143318.48+344404.4,218.32699,34.734557,0.034320700
